Feature,Screen / user action,HTTP method,Endpoint,Request structure,Response structure,Invalid payload response (4xx),Failure / edge-case response,External integration,Notes
Invoices,Invoice Details — open invoice,GET,/invoices/{invoiceId},{},"{id: string, orderId: string, customerName: string, customerAddress: string, vatNumber: string, lineItems: [{description: string, quantity: number, unitPrice: number, total: number}], totalAmount: number, date: ISO-8601 string, status: string}","{code: ""INVALID_INVOICE_ID"", message: ""The selected invoice could not be found.""}","{code: ""INVOICE_NOT_AVAILABLE"", message: ""Invoice details are not available yet.""}",None,Required by the current Invoice Details — open invoice flow; wire it after replacing the existing mock/local data source.
Invoices,Invoice Details — download PDF,GET,/invoices/{invoiceId}/download,{},"{downloadUrl: string, expiresAt: ISO-8601 string, fileName: string}","{code: ""INVALID_INVOICE_ID"", message: ""The selected invoice could not be found.""}","{code: ""DOWNLOAD_NOT_READY"", message: ""The invoice PDF is being prepared. Please try again shortly.""}",Object storage,Required by the current Invoice Details — download PDF flow; wire it after replacing the existing mock/local data source.
Quality Control,Invoice Details / QC Checkpoint — load QC record,GET,/orders/{orderId}/quality-check,{},"{orderId: string, status: 'pending'|'verified'|'failed', checkpoints: [{name: string, status: string, checkedAt?: ISO-8601 string, note?: string}], checkedBy?: string}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""QC_NOT_AVAILABLE"", message: ""Quality-check data is not available yet.""}",None,Required by the current Invoice Details / QC Checkpoint — load QC record flow; wire it after replacing the existing mock/local data source.
Delivery Proof,Invoice Details / Signatures — load delivery signatures,GET,/orders/{orderId}/delivery-signatures,{},"{orderId: string, signatures: [{id: string, signerName: string, signerRole: string, signedAt: ISO-8601 string, imageUrl?: string}]}","{code: ""INVALID_ORDER_ID"", message: ""The selected order could not be found.""}","{code: ""SIGNATURES_NOT_AVAILABLE"", message: ""Delivery signatures are not available yet.""}",Object storage,Required by the current Invoice Details / Signatures — load delivery signatures flow; wire it after replacing the existing mock/local data source.
Support,Contact Us — submit support ticket,POST,/support/tickets,"{subject: string, orderRef?: string, message: string}","{ticketId: string, status: 'open', createdAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Enter a subject and message."", fields: {subject: ""Subject is required"", message: ""Message is required""}}","{code: ""SUPPORT_UNAVAILABLE"", message: ""Support tickets are temporarily unavailable. Please try again.""}",None,Required by the current Contact Us — submit support ticket flow; wire it after replacing the existing mock/local data source.
Chat,Order Chat — load messages,GET,/orders/{orderId}/messages,"{before?: ISO-8601 string, pageSize?: number}","{items: [{id: string, senderId: string, senderName: string, body: string, sentAt: ISO-8601 string, isMine: boolean}], nextCursor?: string}","{code: ""INVALID_QUERY"", message: ""page must be at least 1 and pageSize must be between 1 and 100."", fields: {page: ""Invalid page"", pageSize: ""Use a value from 1 to 100""}}","{code: ""MESSAGES_UNAVAILABLE"", message: ""Messages are temporarily unavailable. Please try again.""}",Realtime messaging provider optional,Required by the current Order Chat — load messages flow; wire it after replacing the existing mock/local data source.
Chat,Order Chat — send message,POST,/orders/{orderId}/messages,"{pathParams: {orderId: string}, body: {body: string}}","{id: string, senderId: string, senderName: string, body: string, sentAt: ISO-8601 string, isMine: true}","{code: ""VALIDATION_ERROR"", message: ""Enter a message before sending."", fields: {body: ""Message cannot be empty""}}","{code: ""ORDER_CHAT_CLOSED"", message: ""Chat is closed for this order.""}; {code: ""MESSAGE_SEND_FAILED"", message: ""Message could not be sent. Please try again.""}",Realtime messaging provider optional,"orderId is mandatory in the URL path"
Delivery,Rate Delivery — submit rating,POST,/orders/{orderId}/rating,"{pathParams: {orderId: string}, body: {overallRating: integer (1-5), ratings: {delivery: integer, driver: integer, productQuality: integer}, comment?: string}}","{id: string, orderId: string, overallRating: integer, submittedAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Provide a rating from 1 to 5."", fields: {overallRating: ""Choose a rating from 1 to 5"", ratings: ""Complete the delivery ratings""}}","{code: ""RATING_ALREADY_SUBMITTED"", message: ""You have already rated this delivery.""}; {code: ""ORDER_NOT_COMPLETED"", message: ""You can rate the delivery after it is completed.""}",None,"orderId is mandatory in the URL path"
Orders,Confirmation Needed — accept proposed schedule,PATCH,/orders/{orderId}/schedule-proposal,"{pathParams: {orderId: string}, body: {action: 'accept'}}","{orderId: string, status: string, schedule: {date: 'YYYY-MM-DD', timeSlot: string}, proposalStatus: 'accepted'}","{code: ""INVALID_ACTION"", message: ""Only an accept action is allowed for this proposal."", fields: {action: ""Use accept""}}","{code: ""PROPOSAL_EXPIRED"", message: ""This schedule proposal has expired. A new proposal will be required.""}",None,"orderId comes from the selected order / order-detail flow; it is mandatory in the URL path"
Orders,Operations Agreement — accept agreement,POST,/orders/{orderId}/operations-agreement/acceptance,"{pathParams: {orderId: string}, body: {accepted: true}}","{orderId: string, agreementStatus: 'accepted', acceptedAt: ISO-8601 string}","{code: ""VALIDATION_ERROR"", message: ""Accept the operations agreement to continue."", fields: {accepted: ""Agreement acceptance is required""}}","{code: ""AGREEMENT_ALREADY_ACCEPTED"", message: ""This operations agreement has already been accepted.""}",None,"orderId comes from the selected order / order-detail flow; backend generates acceptedAt"
